Unnamed: 0,City,Price,Title,bedroom,ft
0,nashua,1300,huge 2-bedroom apartment,2,1600
1,manchester,995,heat  hot water,1,1200
2,3countryclubdrmanchesternh,1875,rivers edge condos in manchester luxury 55+ community,2,1470
3,tilton,150,studio apartment for rent. $150/wk + util.,,
4,59oldhacketthillrdmanchesternh,1810,"regency heights, exclusive 55+ living",2,1140
5,hamptonbeach,295,"avail now-/1 br gas,  cable net incl.300 pets ok",490ft2,
6,manchester,1665,"beautiful 2bed, 2bath, ideal location w/heathot water, ready now",2,1199
7,hooksett,1495,waterfront apt. w/ deck overlooking merrimack,2,
8,claremont,850,one bed room,1,
9,"bradford,ma",1550,beautiful 2br apartment available on corner lot w off-street parking,2,915
10,"1370frontst.,manchester",1710,"regency place, premier 55+ apartments",2,1200
11,nashua,1950,move moew 🐱 we love your furbabies 🐱  lofts 34 433,2,1233
12,33bowmanparaderdbedford,900,homes at birchside common at bedford.,2,2096
13,jaffrey,900,jaffrey: 2 br house - $900/month+util,2,
14,nan,1495,brigh natural light 2 bed apt,1000ft2,
15,derry,1364,"laundry on site, pet friendly, heat  hot water included, and so much more",1,
16,nashuaq,1795,make your move less ruff bring your furbabies with you,2,
17,nashua,1750,three bedroom apartment,3,1000
18,nashua,2455,did you hear lofts 34 is open and ready for you to move in,3,1619
19,golfviewdrivemanchesternh,1550,greenview townhomes,2,1200
20,nashua,1870,shuffle over to our game room for shuffle boardlofts 34 408,2,1098
21,nashua,1870,give thanks in your new downtown apartment,2,1098
22,nan,560,great use of space is the newly updated,,
23,portsmouth,1600,"2 br w/parking islington st. portsmouth, nh",2,1200
24,manchester,895,1 bedroom w/offstreet parking  w/d hookups,1,
25,manchester,1050,2 bedroom w/heat  hw included,2,728
26,62crescentstreet,1500,for rent 2bedroom/1 bath near downtown plymouth nh,2,1300
27,concord/penacook,1035,heats on us for 1 year....say what  don't miss out,2,820
28,1850frontstmanchesternh,1815,"open house saturday, november 17regency west  1:00 - 3:00",2,1140
29,nashua,1395,beautiful top floor home w/lots of light,2,980
30,"758glenave.,apt.2,berlin",650,"2nd floor, 2 br apartment",2,
31,"305coosst.,apt.1,berlin",735,"1st floor, 2 br apartment",2,
32,"138roderickst.,apt.2,berlin",650,"2nd floor, 2-3 br apartment",2,
33,"136roderickst.,apt.1,berlin",700,"1st floor, 2 br apartment",2,
34,"19potterst.,apt.2,gorham",800,"2nd/3rd floor, 2 br apartment",2,
35,nan,1550,"gourmet kitchens washer and dryer, additional storage available",2,990
36,180woodburystreet,1610,covered parking keep your car snow free at carisbrooke,2,1125
37,manchester,1850,"open house  saturday,  november 17  regency west    1:00- 3:00",2,1140
38,manchester,1635,pet friendly apartment in downtown manchester 2br 1ba (122),2,930
39,manchester,1785,exposed brick  fireplace in this top floor river view apartment(a313),2,1100
40,durham,969,sign a lease today,4,
41,nan,1250,plenty of space in a beautiful home - utilities included,4,4000
42,745rimmonstmanchesternh,1400,apartment for rent,2,1200
43,manchester,1850,gorgeous original features in this luxury renovated 2 bed with a view,2,1035
44,dover,1500,end unit townhouse-style 2 bedroom dover condo,2,1150
45,"108wmainstreetmerrimac,ma",1625,"luxury 55+ active adult community- coming soon to merrimac, ma",1,889
46,"221btaylorcir,pembroke",975,"home for rent, open house sat 11/13, noon-3pm  sun 11/ 18, 10am-noon",2,1340
47,420pleasantstreetportsmouthnh,1550,1 bedroom apartment in portsmouth's south end,1,650
48,manchester,995, heat  hot water included ,1200ft2,
49,manchester,1665,lovely petfriendly 2bed 2bath w/elv availablenow heat+hotwater include,2,1199
50,merrimack,1199,1 bedroom available this month don't pass this opportunity up,1,
