,City,Price,Title,bedroom,ft
0,Nashua,$1300,Huge 2-Bedroom Apartment,2br,1600ft2
1,Manchester,$995,***Heat & Hot Water***,1br,1200ft2
2,3CountryClubDrManchesterNH,$1875,Rivers Edge Condos in Manchester! Luxury 55+ Community,2br,1470ft2
3,"Tilton,NH",$150,STUDIO apartment for rent. $150/wk + util.,,
4,59OldHackettHillRdManchesterNH,$1810,"Regency Heights, Exclusive 55+ Living",2br,1140ft2
5,HamptonBeach,$295,"AVAIL NOW-/1 BR gas,  cable NET INCL.300 pets ok",490ft2,
6,"Manchester,NH",$1665,"Beautiful 2bed, 2bath, ideal location w/heat&hot water, ready now!",2br,1199ft2
7,Hooksett,$1495,Waterfront Apt. w/ deck Overlooking Merrimack,2br,
8,Claremont,$850,One Bed Room,1br,
9,"Bradford,MA",$1550,Beautiful 2BR Apartment Available on Corner Lot w Off-Street Parking,2br,915ft2
10,"1370FrontSt.,Manchester",$1710,"Regency Place, Premier 55+ Apartments",2br,1200ft2
11,Nashua,$1950,Move Moew! 🐱 We Love your Furbabies! 🐱  Lofts 34! 433,2br,1233ft2
12,"33BowmanParadeRdBedford,NH",$900,homes at Birchside Common at Bedford.,2br,2096ft2
13,Jaffrey,$900,Jaffrey: 2 BR House - $900/month+Util,2br,
14,,$1495,Brigh natural light 2 bed apt,1000ft2,
15,Derry,$1364,"Laundry on site, pet friendly, heat & hot water included, and so much more!",1br,
16,Nashuaq,$1795,Make your move less ruff! Bring your furbabies with you!,2br,
17,"Nashua,NH",$1750,Three Bedroom apartment,3br,1000ft2
18,Nashua,$2455,Did you hear?!?!?! Lofts 34 is open and ready for you to move in!!,3br,1619ft2
19,GolfviewDriveManchesterNH,$1550,Greenview Townhomes,2br,1200ft2
20,Nashua,$1870,Shuffle over to our game room for Shuffle board!Lofts 34! 408,2br,1098ft2
21,Nashua,$1870,Give thanks in your new downtown apartment!!,2br,1098ft2
22,,$560,Great Use of Space Is the Newly Updated,,
23,"Portsmouth,NH",$1600,"2 BR w/parking Islington st. Portsmouth, NH",2br,1200ft2
24,Manchester,$895,1 Bedroom w/Offstreet Parking & W/D Hookups,1br,
25,Manchester,$1050,2 Bedroom w/Heat & HW Included,2br,728ft2
26,62CrescentStreet,$1500,For Rent 2Bedroom/1 Bath near downtown Plymouth NH,2br,1300ft2
27,Concord/Penacook,$1035,Heats on us for 1 year....Say what?  Don't miss out,2br,820ft2
28,1850FrontStManchesterNH,$1815,"OPEN HOUSE* Saturday, November 17@Regency West * 1:00 - 3:00*",2br,1140ft2
29,Nashua,$1395,Beautiful Top Floor Home w/Lots of Light!,2br,980ft2
30,"758GlenAve.,Apt.2,Berlin,NH",$650,"2nd Floor, 2 BR Apartment",2br,
31,"305CoosSt.,Apt.1,Berlin,NH",$735,"1st Floor, 2 BR Apartment",2br,
32,"138RoderickSt.,Apt.2,Berlin,NH",$650,"2nd Floor, 2-3 BR Apartment",2br,
33,"136RoderickSt.,Apt.1,Berlin,NH",$700,"1st Floor, 2 BR Apartment",2br,
34,"19PotterSt.,Apt.2,Gorham,NH",$800,"2nd/3rd Floor, 2 BR Apartment",2br,
35,,$1550,"Gourmet kitchens Washer and dryer, Additional storage available",2br,990ft2
36,180WoodburyStreet,$1610,Covered parking! Keep your car snow free at Carisbrooke!,2br,1125ft2
37,Manchester,$1850,"OPEN HOUSE * Saturday,  November 17 @ Regency West  *  1:00- 3:00*",2br,1140ft2
38,Manchester,$1635,Pet Friendly Apartment in Downtown Manchester 2BR 1BA (122),2br,930ft2
39,Manchester,$1785,Exposed Brick & Fireplace in this Top Floor River View apartment(A313),2br,1100ft2
40,Durham,$969,Sign a Lease Today!,4br,
41,,$1250,Plenty of Space in a Beautiful Home - Utilities included,4br,4000ft2
